url,http://datalab.naver.com/keyword/trendResult.naver?hashKey=N_6cbe446d5f92970bf65f313182c295cd
Topic,Summary
Scope,Total
Period,Daily : 2020-01-01 ~ 2025-11-15
Gender,"All(Female, Male)"
Age ,All
Date,Health
2022-09-08,0.43557
2022-09-09,0.27808
2022-09-10,0.26098
2022-09-11,0.32012
2022-09-12,0.52158
2022-09-13,0.81831
2022-09-14,0.91306
2022-09-15,0.94739
2022-09-16,1.82471
2022-09-17,1.22355
2022-09-18,0.9191
2022-09-19,1.31817
2022-09-20,1.28487
2022-09-21,1.29464
2022-09-22,1.0784
2022-09-23,0.92695
2022-09-24,0.66725
2022-09-25,0.70402
2022-09-26,1.08058
2022-09-27,0.94083
2022-09-28,0.86048
2022-09-29,0.80687
2022-09-30,0.70762
2022-10-01,0.58316
2022-10-02,0.56285
2022-10-03,0.66712
2022-10-04,0.98827
2022-10-05,1.44095
2022-10-06,1.44802
2022-10-07,1.27729
2022-10-08,1.04034
2022-10-09,1.63585
2022-10-10,1.90764
2022-10-11,2.23072
2022-10-12,2.11193
2022-10-13,1.83847
2022-10-14,1.64408
2022-10-15,1.27536
2022-10-16,1.24026
2022-10-17,1.86971
2022-10-18,1.69126
2022-10-19,1.57658
2022-10-20,1.59947
2022-10-21,1.51539
2022-10-22,1.24514
2022-10-23,1.19012
2022-10-24,1.84953
2022-10-25,1.8476
2022-10-26,1.63778
2022-10-27,1.58546
2022-10-28,1.52683
2022-10-29,1.31303
2022-10-30,1.3075
2022-10-31,1.88784
2022-11-01,1.69808
2022-11-02,1.69654
2022-11-03,1.68625
2022-11-04,1.76468
2022-11-05,1.41665
2022-11-06,1.71903
2022-11-07,2.80296
2022-11-08,2.26338
2022-11-09,2.17814
2022-11-10,2.13147
2022-11-11,1.89967
2022-11-12,1.68522
2022-11-13,1.78486
2022-11-14,2.51575
2022-11-15,2.1928
2022-11-16,1.98645
2022-11-17,1.89954
2022-11-18,1.83744
2022-11-19,1.56514
2022-11-20,1.81636
2022-11-21,2.69536
2022-11-22,2.4246
2022-11-23,2.26762
2022-11-24,2.09432
2022-11-25,1.95894
2022-11-26,1.69358
2022-11-27,1.92101
2022-11-28,2.78329
2022-11-29,2.50302
2022-11-30,2.46355
2022-12-01,2.43064
2022-12-02,2.31185
2022-12-03,1.99018
2022-12-04,2.54403
2022-12-05,3.91685
2022-12-06,3.70575
2022-12-07,4.06598
2022-12-08,4.26475
2022-12-09,4.20715
2022-12-10,3.64982
2022-12-11,4.06508
2022-12-12,5.97826
2022-12-13,5.29301
2022-12-14,4.99127
2022-12-15,4.75419
2022-12-16,4.66908
2022-12-17,4.22425
2022-12-18,4.63424
2022-12-19,6.75877
2022-12-20,6.27884
2022-12-21,5.88171
2022-12-22,5.75108
2022-12-23,5.27745
2022-12-24,4.70199
2022-12-25,5.1359
2022-12-26,7.75927
2022-12-27,7.12647
2022-12-28,6.53456
2022-12-29,6.0401
2022-12-30,5.66764
2022-12-31,4.75496
2023-01-01,4.6498
2023-01-02,6.60038
2023-01-03,5.85394
2023-01-04,5.22847
2023-01-05,4.8609
2023-01-06,4.4144
2023-01-07,3.52537
2023-01-08,3.51958
2023-01-09,4.40835
2023-01-10,3.61665
2023-01-11,3.27287
2023-01-12,2.8945
2023-01-13,2.6195
2023-01-14,2.05639
2023-01-15,2.05099
2023-01-16,2.55033
2023-01-17,2.18611
2023-01-18,1.98246
2023-01-19,1.82986
2023-01-20,1.60834
